NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
Kota Pekalongan,pekalonganutara,128.695,187.903,31.65,3.721,Unknown,0.232,0.095,39.672,2021,2,1,-6.8709,109.6848
bekasi,cikarangbarat,6.997,14.642,40.23,29.644,Built-up,0.309,0.174,19.056,2023,10,0,-6.2973,107.0941
Kudus,mejobo,61.197,123.598,31.26,9.259,Unknown,0.531,0.105,38.705,2020,2,1,-6.8399,110.8888
jakarta utara,kelapagading,41.057,70.851,36.29,5.514,Built-up,0.228,0.062,38.154,2024,3,0,-6.161,106.9037
Kepulauan Mentawai,siberutselatan,65.607,117.585,25.12,96.178,Unknown,0.71,1.694,31.9,2024,8,1,-1.529,99.0577
jakarta timur,makasar,19.138,66.078,38.58,25.658,Built-up,0.406,0.16,38.395,2021,9,0,-6.2663,106.8911
depok,cipayung,24.27,55.431,38.32,106.638,Built-up,0.361,0.3,40.149,2023,12,0,-6.4297,106.8028
bogor,sukaraja,59.961,93.942,32.36,276.337,Tree cover,0.646,1.706,37.188,2021,5,1,-6.5792,106.8408
bogor,cijeruk,83.68,104.215,29.6,717.352,Tree cover,0.578,7.732,36.938,2020,10,0,-6.686,106.7843
Bojonegoro,gondang,49.944,86.419,29.62,246.227,Unknown,0.69,2.355,41.375,2020,1,1,-7.4021,111.8283
Aceh Utara,matangkuli,48.927,66.292,30.010000000000005,12.256,Unknown,0.156,0.091,33.835,2022,10,1,5.0298,97.275
tangerang,mekarbaru,19.587,34.381,30.44,4.93,Cropland,0.585,0.066,33.673,2021,8,0,-6.062,106.3871
jakarta pusat,tanahabang,41.922,76.764,37.23,12.45,Built-up,0.314,0.13,38.154,2024,3,0,-6.2054,106.8094
Bima,bolo,54.137,92.349,29.24,70.277,Unknown,0.696,2.006,30.069,2024,3,1,-8.504,118.6272
Jombang,sumobito,52.262,73.767,34.49,29.952,Unknown,0.538,0.086,31.611,2022,11,1,-7.5222,112.3284
bekasi,sukatani,10.604,36.963,32.2,9.292,Cropland,0.483,0.08,27.952,2020,8,0,-6.1918,107.1559
tangerang,kelapadua,52.529,108.422,28.74,27.206,Built-up,0.181,0.146,38.882,2023,2,0,-6.2426,106.6094
tangerang,pagedangan,31.139,77.352,34.7,39.721,Tree cover,0.427,0.198,40.347,2023,1,0,-6.2973,106.6175
Landak,airbesar,88.249,162.432,27.8,355.62,Unknown,0.655,4.055,38.986,2021,1,1,0.8263,110.0506
Kotawaringin Barat,arutselatan,67.695,115.048,28.33,27.913,Unknown,0.767,0.367,32.905,2024,4,1,-2.5327,111.6072
bogor,caringin,114.804,211.947,28.6,765.651,Tree cover,0.562,4.954,37.697,2023,11,0,-6.7366,106.866
tangerang,kronjo,19.859,36.261,31.56,4.048,Cropland,0.467,0.069,33.673,2021,8,0,-6.0703,106.4282
bekasi,cibitung,22.271,45.968,36.63,14.027,Cropland,0.436,0.106,27.191,2020,9,0,-6.2357,107.1004
Bima,woha,27.672,108.229,29.32,189.472,Unknown,0.685,4.685,26.812,2021,4,1,-8.6042,118.6467
jakarta barat,kalideres,27.234,64.883,39.56,5.258,Built-up,0.243,0.071,37.999,2023,11,0,-6.1346,106.7039
Jember,ambulu,71.63,108.508,30.46,40.067,Tree Cover,0.744,1.488,31.806,2021,2,1,-8.3813,113.6069
Boyolali,karanggede,74.619,124.032,29.93,297.365,Unknown,0.545,1.701,42.399,2021,1,1,-7.3706,110.6574
jakarta pusat,senen,63.716,138.079,36.16,10.007,Built-up,0.096,0.092,38.069,2023,2,0,-6.1842,106.8459
tangerang,jambe,49.494,83.709,31.88,43.823,Tree cover,0.601,0.302,39.303,2020,5,0,-6.3238,106.4992
jakarta timur,jatinegara,19.645,35.373,41.47,18.159,Built-up,0.229,0.126,35.116,2020,9,0,-6.2273,106.8774
tangerang,pakuhaji,6.344,8.558,31.6,3.922,Cropland,0.431,0.061,31.551,2023,8,0,-6.0602,106.6063
Jepara,jepara,84.328,164.564,32.96,24.209,Unknown,0.312,0.585,42.011,2021,12,1,-6.5773,110.6732
bogor,nanggung,68.621,113.37,26.83,848.241,Tree cover,0.439,5.957,39.315,2020,2,0,-6.6725,106.5377
jakarta barat,kebonjeruk,23.883,41.692,39.72,10.059,Built-up,0.265,0.118,37.559,2022,4,1,-6.1895,106.7691
kota tangerang,benda,17.275,51.412,37.38,8.372,Built-up,0.332,0.098,36.156,2021,9,0,-6.13,106.6657
jakarta pusat,sawahbesar,15.769,29.951,39.38,7.059,Built-up,0.217,0.09,37.438,2023,4,0,-6.1539,106.8332
